stars,title,body,date,version
5,"","Good morning",2026-05-23,18.9.0
5,"","good",2026-05-23,18.9.0
5,"","easy to reinstall &easy to access .",2026-05-23,18.9.0
5,"","all in One Best",2026-05-23,18.8.1
5,"","🤜🤜",2026-05-23,18.1.1
5,"","super",2026-05-23,18.9.0
1,"","blocked money for the stocks sold on trading day.",2026-05-23,18.9.0
5,"","very good 👍",2026-05-23,18.9.0
5,"","fast and smooth experience please add Oi profile indicator",2026-05-23,18.9.0
4,"","very nice",2026-05-23,18.9.0
5,"","good",2026-05-23,18.9.0
5,"","nice app",2026-05-23,Unknown
5,"","awesome",2026-05-23,18.9.0
3,"","pls add indicator layout saving feature across the devices , indicator applied keep getting deleted",2026-05-23,Unknown
1,"","xx eddddd द् द र dc d dc dc d dc dc y dc d d Dr srsly fd des e sd dc dddrddeu द् द से dde wd ßß de x dc ee sex dc de dg sd d",2026-05-23,18.9.0
5,"","very excellent 👍",2026-05-23,18.9.0
5,"","very nice",2026-05-23,Unknown
5,"","good",2026-05-23,18.9.0
3,"","# }}a",2026-05-23,18.8.1
5,"","best app",2026-05-23,Unknown
5,"","nice to see",2026-05-23,18.9.0
5,"","GOOD TRADING AAP",2026-05-23,18.9.0
4,"","I am giving you a 4star because you don't have Any us stock pls add as soon as possible",2026-05-23,18.8.1
5,"","Awesome 👍",2026-05-23,18.9.0
4,"","good",2026-05-23,18.9.0
5,"","easy for understanding, and good for investment.",2026-05-23,18.9.0
5,"","nice",2026-05-23,18.9.0
5,"","super",2026-05-23,18.8.1
5,"","nice for growth income",2026-05-23,18.9.0
5,"","Fabulous and Awesome App 🙂 Keep it up",2026-05-23,18.9.0
5,"","best app",2026-05-23,18.9.0
5,"","good",2026-05-23,18.9.0
5,"","nice app. i like it.",2026-05-23,18.9.0
5,"","go",2026-05-23,18.7.1
4,"","good 👍",2026-05-23,18.9.0
5,"","😊",2026-05-23,18.9.0
5,"","very nice app",2026-05-23,18.9.0
1,"","This app are very high levels brokege and withdrawal money problem any time",2026-05-23,Unknown
5,"","good",2026-05-23,16.68
5,"","भाई इसमें लोग जितना कमाते नहीं उतना ब्रोकरेज चार्ज मै चला जाता है",2026-05-23,18.9.0
5,"","ଭାଇ ଯଦି ଲାଇଫ ରେ ବଢ଼ିବାର ଅଛି ତ groww କର",2026-05-23,18.9.0
5,"","good",2026-05-23,18.9.0
5,"","best app",2026-05-23,18.9.0
5,"","User friendly. Stock buying and selling process is also very easy.",2026-05-23,18.8.1
5,"","Very good",2026-05-23,18.9.0
4,"","thank you",2026-05-23,18.9.0
3,"","index (Nifty50) chart pr vwap nahi dikhat hai update kre..",2026-05-23,18.9.0
5,"","superb",2026-05-23,18.9.0
5,"","good la",2026-05-22,18.9.0
5,"","good",2026-05-22,18.4.3
1,"","UPI option now removed and only net banking is available now",2026-05-22,Unknown
5,"","Very good you are simple growing trending app",2026-05-22,Unknown
5,"","iam just beginner I have learn stocks in groww app nice experience",2026-05-22,18.8.1
1,"","Pathetic app with totally useless customer service. They could not do the onboarding even after almost a week, always blaming the bank and everything but themselves. Imagine how bad they will be during actual use! Deleted data, closed account and uninstalled. Suggest you do the same.",2026-05-22,18.9.0
1,"","F&O Activation taking many days in this app,,No solution even after complaint to groww team from one week.Lets see",2026-05-22,18.9.0
5,"","aaaAawaaewaAe zW XE O P AAQQ a A walxsra",2026-05-22,18.8.1
5,"","good",2026-05-22,18.9.0
1,"","its as logging probable I'm not able to logging in this app since 2 months",2026-05-22,Unknown
5,"","good",2026-05-22,18.9.0
5,"","good",2026-05-22,Unknown
5,"","excellent 👌👌",2026-05-22,18.9.0
5,"","👍",2026-05-22,18.6.1
5,"","good",2026-05-22,18.9.0
5,"","good 👍🏾",2026-05-22,18.9.0
5,"","F&O kasa seky",2026-05-22,18.8.1
5,"","good",2026-05-22,18.9.0
5,"","good",2026-05-22,18.9.0
5,"","best Apps",2026-05-22,18.9.0
3,"","good app for stocks and mutual funds. plz don't use it to buy Bonds. you dont get any service or reports to help track monthly payouts. you have to rely on your own bank statements and manual tracking and mailing. groww does not have any tracking report to help you. there are other apps with much better features and options for Bonds.",2026-05-22,18.9.0
1,"","Fire all staff",2026-05-22,18.9.0
5,"","Very Good And Still Need Improvement",2026-05-22,18.9.0
5,"","very good 👍",2026-05-22,18.9.0
5,"","good",2026-05-22,18.9.0
5,"","it's very helpful",2026-05-22,18.8.1
5,"","ok",2026-05-22,18.8.1
5,"","great",2026-05-22,18.10.0
1,"","not good for trader highest charge for trade and trading charges is immediately cut the trade balance.....and not add any trade profit to trade balance",2026-05-22,15.96
5,"","excellent",2026-05-22,18.9.0
1,"","groww faltu brokrage plateform hai, lumpsum 13.5% charges hidden rahte hain jiska koi seedha jabab nahi, 1000 ki sell par 30.55 expenditure with Dp of 20(=16.5+3.5)",2026-05-22,Unknown
5,"","very good groww app",2026-05-22,18.8.1
5,"","good 👍",2026-05-22,18.9.0
4,"","very good",2026-05-22,18.9.0
4,"","4440ee4 I'll yuuo 9k4",2026-05-22,18.7.1
1,"","Thief app worst app, always auto square off , when customer get more loss. they have setting from share market to make profit. I have always have bad experience they.thought the share closes at profit , they show loss.",2026-05-22,18.9.0
5,"","horizontal line gayab ho jata hai jiske karan bhut presani hoti hai",2026-05-22,18.9.0
2,"","Holding Analysis doesn't have option to see how much Overall % allocation in Largecap,Midcap,Smallcap Mutual Fund is holding...",2026-05-22,18.9.0
1,"","bahut bura aap hai bahut hi Jada bahut hi broken charge leta hai bahut hi Bura hai paise ki Yojana Karen barbad mein denge",2026-05-22,18.9.0
5,"","👍",2026-05-22,18.9.0
1,"","Apna pesa bache rakho ,ye grebo ko amer banne k liye nhi h balki or greeb bnanae k liye. bne h ,aap SEBI ki report dekh lena",2026-05-22,18.9.0
4,"","payment return policy is slow",2026-05-22,18.9.0
5,"","Groww terminal is very easy to use trading opportunities nevar miss",2026-05-22,18.9.0
5,"","“Using Groww has been a smooth and beginner-friendly experience. The app interface is simple, easy to understand, and makes investing in stocks and mutual funds very convenient. The account opening was quick, and transactions were fast and secure. Overall, Groww is a great platform for new as well as experienced investors.” But one more Suggestion about the Desktop Qr login option Provide in Our App & Sector wise Watchlist inbuilt",2026-05-22,18.9.0
1,"","I repaid my dues on time, but despite three redemption requests my mutual fund is still blocked and I haven't received my money. I had taken a loan against my mutual fund through Grow and fully repaid it, yet customer support has given no satisfactory resolution. This caused serious financial hardship. I would not recommend using Grow for loans against mutual funds — please verify fund-release procedures and read reviews carefully before investing. verry verry 👎 experience with u",2026-05-22,18.9.0
4,"","best",2026-05-22,18.9.0
4,"","nice 🙂",2026-05-22,18.9.0
5,"","wow",2026-05-22,18.9.0
5,"","good",2026-05-22,18.9.0
5,"","Good",2026-05-22,18.7.1
5,"","The groww app opens in vertical mode but does not open in horizontal mode tablet",2026-05-22,18.9.0
1,"","Chor company hai Right customer ko nahi provide karte stay away such chor company",2026-05-22,Unknown
5,"","good traging app and enjoy",2026-05-22,18.9.0
5,"","all well",2026-05-22,18.9.0
5,"","excellent service & good apps",2026-05-22,18.9.0
5,"","good service",2026-05-22,18.9.0
5,"","nice app use full app",2026-05-22,18.9.0
5,"","excellent 👍",2026-05-22,18.9.0
5,"","excellent",2026-05-22,18.9.0
5,"","......¿",2026-05-22,18.9.0
4,"","vu vhuhuuu7 u huhh j by uh-huh u haduhuu uuu ji u uh iuh uuhi hu uI uy",2026-05-22,18.9.0
5,"","good",2026-05-22,18.9.0
4,"","good",2026-05-22,18.9.0
4,"","bahut hi acha laga mujhe or se bahut hi exilent hain",2026-05-22,18.9.0
5,"","nice fast withdrawal and easy use",2026-05-22,Unknown
1,"","customer support is very poor",2026-05-22,18.9.0
5,"","good👍",2026-05-22,18.9.0
5,"","good 👍👍👍👍👍",2026-05-22,18.9.0
5,"","nice",2026-05-22,18.8.1
5,"","very easy to understand the interface of this app,, 😃",2026-05-22,18.9.0
5,"","A nice stock market gives a higher amount of cashback in each deposit and is very safe and secure to use",2026-05-22,Unknown
5,"","very nice app",2026-05-22,18.8.1
5,"","nic.... improve as previous and instant withdrawal is also available.....",2026-05-22,18.9.0
1,"","grow scalper is not correct. when grow show marke downward the market goes upward...",2026-05-22,18.9.0
1,"","payment done dikha diya paise Bank me nhi aya .20 din baad aya bohot complaint krne ke baad . customer support bohot bekar he sari ladkiya he or sari bekar he kisi ko kuchh samajh hi nhi aata he baar baar chat close Krna ata he koe help nhi krti only time waste",2026-05-22,18.9.0
5,"","great apps",2026-05-22,18.9.0
5,"","good application",2026-05-22,18.9.0
5,"","user friendly interface",2026-05-22,18.9.0
5,"","good",2026-05-22,18.9.0
5,"","Simple & easy to use",2026-05-22,18.9.0
5,"","good",2026-05-22,18.8.1
5,"","good 👍",2026-05-22,18.9.0
5,"","good 👍",2026-05-22,18.9.0
5,"","very Nice and easy to use and understanding application..",2026-05-22,18.9.0
5,"","it is very good",2026-05-22,18.9.0
5,"","I enjoy it",2026-05-22,18.9.0
5,"","This app is very simple and user friendly specially for beginners. Thanks to GROWW team",2026-05-22,18.9.0
1,"","exorbitantly hi brokerage charges for stock trading. they are so high that i have stopped using the app. won't recommend anyone",2026-05-22,18.9.0
1,"","scam app he auto sell ho jata he order",2026-05-22,18.9.0
5,"","good app.",2026-05-22,18.9.0
5,"","still good",2026-05-22,18.9.0
5,"","ammezing",2026-05-22,18.9.0
1,"","best",2026-05-22,Unknown
5,"","good",2026-05-22,18.9.0
5,"","Good learning",2026-05-22,18.9.0
5,"","Very Good Experience 👍😃",2026-05-22,18.9.0
4,"","good 👍",2026-05-22,18.9.0
5,"","Super awesome app",2026-05-22,Unknown
5,"","Yes, it is easy and good....",2026-05-22,18.7.1
4,"","please add more indicators so we can trade smartly",2026-05-22,18.9.0
5,"","for trading app I use it since 2020",2026-05-22,18.9.0
5,"","Grow with Groww",2026-05-22,18.9.0
5,"","it's not game",2026-05-22,17.91.1
5,"","good 👍",2026-05-22,18.8.1
5,"","Easy to use",2026-05-22,18.9.0
5,"","nice",2026-05-22,18.9.0
5,"","it is wonderful broker",2026-05-22,18.9.0
1,"","# very hard to manage fno trade # scalper mode is too outdated # no entry and exit feature on chart # no split chart window features # High brokrage zero features @ this app not made for fno mobile trading you confused everytime and stuck in loop for manage trade or looking chart and this results you may book loss even if you are in profit # my advice you may look for better app for fno segment .",2026-05-22,17.91.1
5,"","nice app",2026-05-22,18.9.0
1,"","my all charts are stuck at 3:29pm 21 May 2026 plese fix it",2026-05-22,Unknown
5,"","Good",2026-05-22,18.9.0
4,"","900यू",2026-05-22,18.9.0
5,"","excellent interface....suggestions notification also too good on time to time change in market",2026-05-22,18.9.0
5,"","👍👍good",2026-05-22,18.9.0
5,"","best for young boys and girls",2026-05-21,18.9.0
4,"","very nice to invest online",2026-05-21,18.9.0
5,"","nice trade Enjoy invest",2026-05-21,18.9.0
5,"","good",2026-05-21,18.7.1
1,"","account close is not easy here, customer support smartly delyed, my experience is not good on this app, i deside to stop using now.",2026-05-21,18.9.0
5,"","good application",2026-05-21,18.9.0
2,"","F&O brokerage charges 50 to 70 rupees high brokerage charge this app 😔",2026-05-21,18.9.0
5,"","nice app to trade",2026-05-21,18.9.0
5,"","Nice 🙂👍🏻",2026-05-21,18.8.1
1,"","not good",2026-05-21,18.9.0
5,"","good app",2026-05-21,18.9.0
2,"","Global indices ( global financial markets) is missing in the groww application.like Us makets, european markets, assian markets, australia markets , middle east, African markets or certain global indices like commodity,bond equity and future,for track global markets, monitor to support investment,information and decision for investors, world wide . please update valuable features . thanks .",2026-05-21,18.9.0
5,"","best app For Trading",2026-05-21,18.7.1
1,"","not like this",2026-05-21,Unknown
5,"","excellent app",2026-05-21,18.9.0
5,"","very nice app",2026-05-21,18.9.0
5,"","best app for trading",2026-05-21,18.9.0
5,"","good 👍 new experience",2026-05-21,18.8.1
5,"","Easy to use. Clearly update my portfolio. brokerage is high in stocks but for MF, it is the best. UI is easy to understand.",2026-05-21,18.9.0
1,"","The app is riddled with glitches and faults. Furthermore, they do not even answer the helpline number when needed.",2026-05-21,18.9.0
5,"","nice 👍 application",2026-05-21,18.9.0
5,"","wow app . Nice app. Good to use .",2026-05-21,18.9.0
5,"","Good",2026-05-21,18.9.0
5,"","very good",2026-05-21,18.9.0
5,"","very very good app",2026-05-21,18.9.0
5,"","good👍👍👍😊😊😊😊",2026-05-21,18.7.1
5,"","Best App",2026-05-21,18.8.1
5,"","banothshankar free",2026-05-21,Unknown
2,"","I need a SL and Target tool on the index chart because premium chart is so confusing.",2026-05-21,18.9.0
5,"","good",2026-05-21,18.6.1
5,"","excellent",2026-05-21,18.9.0
5,"","very easy",2026-05-21,18.9.0
4,"","good helpful",2026-05-21,18.9.0
1,"","without consent funds moved to demant.",2026-05-21,Unknown
5,"","good service",2026-05-21,18.9.0
1,"","the groee app is totally fraud.",2026-05-21,17.95.2
1,"","Beginners please Don't download this app, and don't go to share market, All Institutional, Operator's hunters traps and this broker is silent partner for that, Share market is only for rich people's. Morning they gap up or gap down 200 points and suddenly they force them to fall or rise 200 points, Total 400 points u will lose, if u r a option buyers ur total capital will wipe out, If u set SL only SL will hits daily. They want only broker fee, they will know market will rise or falls.",2026-05-21,18.9.0
1,"","bhot madharchood app hai",2026-05-21,Unknown
4,"","mast",2026-05-21,18.9.0
5,"","best pletform.....like",2026-05-21,18.8.1
5,"","ok",2026-05-21,Unknown
1,"","this app is scam . i withdraw money from this app and it didn't receive from 5 days .",2026-05-21,Unknown
5,"","very good👍",2026-05-21,18.8.1
1,"","They are not showing any deducted money in any transaction history. without any any information they are deducting peoples money. too much platform charges",2026-05-21,18.9.0
2,"","showing wrong expense ratio in mutual funds.. expense ratio changed almost everyday making confusion",2026-05-21,18.9.0
5,"","good",2026-05-21,18.9.0
5,"","Very user friendly and fast.",2026-05-21,18.9.0
1,"","worst app high brokerage charges don't use they charge 50+ ruppe of amount 🤡🤡🤡🤡",2026-05-21,Unknown
5,"","excellent 👍👍👍",2026-05-21,18.9.0
1,"","faltu app",2026-05-21,17.74
5,"","goood",2026-05-21,18.9.0
5,"","Nice Groww teme",2026-05-21,18.9.0
5,"","great",2026-05-21,18.9.0
5,"","It's great to use and the most important thing is that your videos are very important for understanding the data...👍",2026-05-21,18.9.0
5,"","wasy to use and all the thisngs ure easy for understand step by step",2026-05-21,18.9.0
4,"","good experience",2026-05-21,18.9.0
5,"","nice 👍",2026-05-21,18.9.0
1,"","very very 3 class app for trading",2026-05-21,18.9.0
5,"","good",2026-05-21,18.9.0
2,"","qqqwqqaqwwqaawq Eawaawwww s and the rest is www wqqq waw qa assam sa q is the w w my mom Wa w ws qq q and the rest is a good seen a new z q and see q qwqqa wwwwww aa qqqwqqaqwwqaawq Eawaawwww aqqsaw awaw w aw ww wwaw w 3wwsa war ww w a new phone SA fx eerWA wwwwawqwwwa w ww w Wwwawwe ewsesSss$$3#3##23#3",2026-05-21,18.9.0
1,"","Profit centred company groww . unfair policy will lead of this app to shutdown in future. they are thinking to loot People for how long dear founders of this app. a day will come u will have closed the loot. government will take action against them for sure in future. Groww charge is scam kind of. better I will go with my own Bank. for investment.",2026-05-21,18.8.1
5,"","nice aap",2026-05-21,18.9.0
5,"","very good app for beginners",2026-05-21,18.9.0
5,"","super",2026-05-21,18.9.0
5,"","great",2026-05-21,18.9.0
5,"","good",2026-05-21,18.9.0
3,"","good",2026-05-21,18.4.3
1,"","🥲osoa💠😭💠😭💠😭😁❤️💠😭😭💠😭👉😭💠❤️❤️💠😭❤️❤️💠💠👌😭🇧🇱wppas😃pasopao",2026-05-21,18.7.1
5,"","good...",2026-05-21,18.9.0
5,"","shanhawaz",2026-05-21,18.9.0
1,"","Even intraday trading charges are very high. Along with brokerage, external charges and taxes are also levied.",2026-05-21,18.9.0
5,"","good",2026-05-21,18.4.3
5,"","excellent app",2026-05-21,18.9.0
5,"","okk",2026-05-21,18.9.0
5,"","great performance and great platform",2026-05-21,18.9.0
4,"","good",2026-05-21,18.9.0
5,"","good",2026-05-21,18.9.0
5,"","The experience has stayed smooth even after regular use. That consistency matters because I’ve tried apps before that became frustrating after a few weeks.",2026-05-21,18.1.1
5,"","very good",2026-05-21,18.9.0
5,"","nice very very nice 👍",2026-05-21,18.9.0
4,"","good",2026-05-21,18.9.0
4,"","good work",2026-05-21,18.9.0
4,"","Simple and transperant app. One suggestion. Indices row in home page be larger in font size and must contain percentage variation as you had in earlier versions.",2026-05-21,18.9.0
5,"","best of luck",2026-05-21,18.7.1
5,"","good",2026-05-21,18.8.1
4,"","bugs problm",2026-05-21,18.9.0
5,"","very good 👍 Groww app",2026-05-21,18.9.0
1,"","best",2026-05-21,18.8.1
5,"","super",2026-05-21,18.8.1
5,"","“Groww is very easy to use and best for beginners. Investing in stocks and SIPs becomes simple with this app. Clean UI and smooth experience.”",2026-05-21,18.8.1
5,"","vary👍",2026-05-21,18.1.1
4,"","nice app with quick support easy to invest or trade..",2026-05-21,18.9.0
4,"","good 👍",2026-05-21,18.9.0
5,"","all is good",2026-05-21,18.9.0
5,"","good",2026-05-21,18.9.0
1,"","i has. many verifications",2026-05-21,Unknown
5,"","good service",2026-05-21,18.9.0
5,"","good 👍",2026-05-21,18.9.0
5,"","best app",2026-05-21,18.9.0
5,"","simple... tooo good.... inthis app very convenient feel safe...",2026-05-21,18.9.0
1,"","bed very",2026-05-21,17.97.2
5,"","excellent",2026-05-21,18.9.0
5,"","stock market best application",2026-05-21,18.9.0
5,"","it's very good",2026-05-21,18.7.1
5,"","Everything is good",2026-05-21,18.9.0
5,"","nic",2026-05-21,18.9.0
5,"","it's a great platform",2026-05-21,18.9.0
5,"","good",2026-05-21,18.9.0
5,"","super and easy to sell and buy stocks.",2026-05-21,18.9.0
5,"","best for longterm investment 👌",2026-05-21,18.9.0
5,"","good",2026-05-21,18.8.1
5,"","very nice",2026-05-21,18.9.0
5,"","it's very good",2026-05-21,18.9.0
4,"","very good 👍",2026-05-21,18.8.1
5,"","Best investment app",2026-05-21,18.9.0
1,"","Very bad option trading...no intraday in selling and options trading strategies and basket order.scalper is for buying encouraging dangerous option buying habit.",2026-05-21,18.9.0
5,"","happy 😊",2026-05-21,18.9.0
5,"","the best app",2026-05-21,18.9.0
5,"","please brokerage me discount do",2026-05-21,Unknown
5,"","achha aap hai",2026-05-21,18.9.0
1,"","tati",2026-05-21,18.9.0
5,"","❤️❤️❤️",2026-05-21,18.9.0
5,"","excellent",2026-05-21,18.7.1
5,"","I am very interested in this app",2026-05-21,18.9.0
1,"","bad experience too much brokerage cut in mtf angel one is good",2026-05-21,18.9.0
5,"","chirag",2026-05-21,18.9.0
5,"","best application",2026-05-21,Unknown
5,"","“मेरा अनुभव groww.in⁠� के साथ काफी अच्छा रहा। इंटरफेस सरल है, SIP शुरू करना आसान है और फंड्स की जानकारी भी साफ तरीके से मिलती है।”",2026-05-21,18.9.0
5,"","very Good Groww application",2026-05-21,18.9.0
5,"","FIRST TIME BUY STOK 🫠",2026-05-21,18.9.0
5,"","super",2026-05-21,18.9.0
5,"","so good",2026-05-21,18.8.1
5,"","good",2026-05-21,18.9.0
1,"","😳aZ, d-,`a1¤¤¤¤zss, , ,,,",2026-05-21,Unknown
5,"","Trustly",2026-05-21,18.9.0
5,"","best",2026-05-21,18.9.0
5,"","exlent app",2026-05-21,18.9.0
5,"","nice",2026-05-20,18.9.0
1,"","fraud app broker charges are very high",2026-05-20,18.9.0
5,"","Nice",2026-05-20,18.9.0
5,"","very nice aap",2026-05-20,18.9.0
5,"","really good",2026-05-20,18.9.0
5,"","good gorow aap",2026-05-20,18.9.0
5,"","ohh it's well",2026-05-20,18.8.1
5,"","Best trading app for traders in sip,fno etc",2026-05-20,18.9.0
1,"","your Ai sucks. If you do not have manpower higher one from market. you seems to relying solely on AI. this is leading to customer like us suffer and find it difficult to get the issue fixed.",2026-05-20,Unknown
1,"","I'm facing an issue in the bank but nothing has helped by groww support staff.. what to do",2026-05-20,18.9.0
5,"","Opening Unknown World of Investing to Common People in India for India Thanks Groww Best Luck",2026-05-20,18.9.0
5,"","bhut badhiya hai",2026-05-20,18.8.1
5,"","good",2026-05-20,18.9.0
5,"","bahut badiya app hai",2026-05-20,Unknown
4,"","good",2026-05-20,18.7.1
4,"","this is very good app",2026-05-20,18.9.0
5,"","good app",2026-05-20,Unknown
5,"","excellent",2026-05-20,18.9.0
5,"","intersting",2026-05-20,18.9.0
5,"","good work",2026-05-20,18.9.0
2,"","Loss Safety or Protect Profit, doesn't work.. I have lost my capital due to sudden reverse movement. Failed to protect my capital. so pathetic App. I will not suggest anyone to use Groww.",2026-05-20,18.9.0
5,"","good",2026-05-20,18.7.1
5,"","it's so good 👍",2026-05-20,18.9.0
5,"","❤️",2026-05-20,18.9.0
5,"","superb",2026-05-20,18.8.1
5,"","very nice 🙂",2026-05-20,18.9.0
5,"","👍 👌",2026-05-20,18.9.0
5,"","good app🙏",2026-05-20,18.7.1
5,"","osam",2026-05-20,18.8.1
3,"","3 start because my friends see's loan against mutual fund but i dont see option in my app",2026-05-20,18.9.0
5,"","One of the best mobile applications for Stock, Mutual funds investment 👌👌👌👍👍👍",2026-05-20,18.9.0
5,"","good 👍🏻😊",2026-05-20,18.9.0
1,"","Worst customer service.",2026-05-20,Unknown
5,"","good",2026-05-20,18.8.1
5,"","ok",2026-05-20,18.7.1
4,"","Very nice to using tranding, investment and Sip",2026-05-20,18.7.1
5,"","good application",2026-05-20,18.9.0
5,"","great",2026-05-20,18.9.0
5,"","excellent 👌👍",2026-05-20,18.9.0
1,"","Worst app. A lot of charges.",2026-05-20,Unknown
1,"","don't trust portfolio, holding data , my actual portfolio is in loss but showing profitable. don't blindly buy or sell your stock , all value are mis calculated. groww developer team work on maths side. your niche is simplicity, don't make it complex . my stock avg price is 104 but after selling 50% share , my stock avg price show 87 now, they now averaging my price from share which is available in my portfolio not from overall, it create confusion.",2026-05-20,18.9.0
5,"","👍",2026-05-20,18.9.0
5,"","best trading app",2026-05-20,18.9.0
1,"","In the personal detail screen page in the doesn't available the gender change options. Just shows the gender title text.",2026-05-20,Unknown
5,"","profit aur revenue ka ye update mujhe pasand nahi aaya pahle jaisa kar do",2026-05-20,18.9.0
5,"","nice. 🧑‍💻🫀📱🌷",2026-05-20,18.9.0
1,"","chitting total fraud app groww",2026-05-20,Unknown
5,"","good experience",2026-05-20,Unknown
5,"","very good",2026-05-20,18.9.0
5,"","superb",2026-05-20,18.8.1
5,"","v.good",2026-05-20,18.8.1
5,"","best",2026-05-20,18.9.0
5,"","veery good",2026-05-20,18.9.0
4,"","good",2026-05-20,18.9.0
5,"","smooth operation",2026-05-20,18.9.0
5,"","good",2026-05-20,18.9.0
5,"","good 👍",2026-05-20,18.9.0
1,"","groow you have work more on your chart.the chart didn't open quickly it stuck",2026-05-20,18.9.0
5,"","😊👍",2026-05-20,18.9.0
5,"","Nice",2026-05-20,18.9.0
5,"","it's good and easy to use and I like it 😀😀",2026-05-20,18.8.1
5,"","👍🏻",2026-05-20,18.9.0
5,"","Good",2026-05-20,18.9.0
5,"","excellent",2026-05-20,18.9.0
5,"","nice broker",2026-05-20,18.9.0
1,"","amount missing without buying any stock",2026-05-20,18.9.0
4,"","ye grow bilkul Farzi app hai kai bar mere order me inhone gaflat ki 80 point ki inki screen recording bhi hai mere pas kai bar inko is bare me avagat bhi karavaya lekin inhone exchangej pe thop diya ki exchangej se bat ki to vo grow app ke leye bol diya ab retailer customer kaha jaye .jab ki dusare app me sahi Chal raha tha no.1 aap ban raha retailer customer kaha jaye .. billkul Farzi app hai. kam se kam 5 se 10 minut ki recording hai mere pas na koi satisfied jawab dete hai retail customer M",2026-05-20,18.9.0
5,"","easy to use and best app.",2026-05-20,18.9.0
5,"","good",2026-05-20,18.9.0
5,"","best app",2026-05-20,18.9.0
4,"","stay away from stock market , my suggestion to all.",2026-05-20,18.9.0
5,"","superb",2026-05-20,18.9.0
5,"","good app",2026-05-20,18.7.1
2,"","app is very good but it takes to much time in processing fee",2026-05-20,18.9.0
5,"","excellent user friendly",2026-05-20,18.9.0
5,"","this is one of the best app",2026-05-20,18.9.0
5,"","easy to use ,best in app experience",2026-05-20,18.9.0
1,"","after getting SL I tried to take another trade to cover my losses but my trade did not executed and I had to book my SL what is going on in Grow 😥 kindly solve such problem/ glitch that is still happening in your Groww App. I tried 2 time to punch my order but 2 time failed .😔",2026-05-20,18.9.0
5,"","bohot hi badiya app he",2026-05-20,18.9.0
4,"","very good",2026-05-20,18.9.0
5,"","thank you groww",2026-05-20,18.9.0
5,"","good",2026-05-20,18.9.0
5,"","super",2026-05-20,18.9.0
3,"","Groww, kindly allow vwap indicator directly over chart. it only show over CE/PE premium chart. whereas other brokers allow vwap directly over chart.",2026-05-20,18.9.0
4,"","now, this apps work great and good customer support",2026-05-20,18.6.1
5,"","nice",2026-05-20,18.9.0
5,"","nice",2026-05-20,18.9.0
5,"","very good",2026-05-20,18.9.0
5,"","super app",2026-05-20,18.8.1
5,"","Extremely excellent platform. The magic is in the simplicity and ease of use.",2026-05-20,18.9.0
5,"","good",2026-05-20,18.9.0
4,"","good 💯",2026-05-20,18.9.0
5,"","nice",2026-05-20,18.9.0
5,"","good",2026-05-20,18.9.0
5,"","very good in all feild",2026-05-20,18.9.0
5,"","good 👍",2026-05-20,18.9.0
5,"","good",2026-05-20,18.9.0
5,"","Nice app for trading",2026-05-20,18.9.0
5,"","user friendly...easy access",2026-05-20,18.9.0
5,"","so nice",2026-05-20,18.9.0
5,"","amazing 😍",2026-05-20,18.9.0
5,"","good",2026-05-20,18.9.0
5,"","very nice app",2026-05-20,18.9.0
2,"","nice aap",2026-05-20,18.9.0
5,"","good 👍",2026-05-20,18.9.0
5,"","good app",2026-05-20,Unknown
4,"","a good app for beginners",2026-05-20,18.9.0
5,"","main thing which i like most about grow app is transpency and no hidden chrges and simple interface to learn there are lots of things which makes grow different from others.",2026-05-20,18.9.0
5,"","good",2026-05-20,18.9.0
5,"","very good",2026-05-20,18.9.0
5,"","good",2026-05-20,18.9.0
5,"","अच्छा ऐप है। कम चार्जेस के मामले में सुपर मैं ग्रो टीम का धन्यवाद करता हूं। कि उन्होंने ऐसा किफायती ऐप बनाया।🙏",2026-05-20,18.9.0
5,"","good so far",2026-05-20,18.9.0
5,"","nice services",2026-05-20,18.8.1
5,"","vert informative n easy to use",2026-05-20,18.9.0
5,"","good",2026-05-20,18.8.1
5,"","that is a very good",2026-05-20,Unknown
5,"","good",2026-05-20,18.9.0
5,"","v good grow",2026-05-20,18.9.0
5,"","nice",2026-05-20,18.8.1
5,"","Awesome 😎",2026-05-20,18.9.0
5,"","👍",2026-05-20,18.9.0
5,"","very good",2026-05-19,18.9.0
5,"","very useful and best apps",2026-05-19,18.9.0
5,"","I started the PAN/KYC process on Groww but did not complete account creation. I want to cancel the onboarding process and request deletion of my unused personal information from your system.",2026-05-19,Unknown
4,"","awesome 💯",2026-05-19,18.9.0
5,"","Happy",2026-05-19,18.9.0
1,"","very bad app jab se es app par account khola hai loss hi ho raha hai bhut sare charge's lagata hai eska name groww nahi zoro hona chahiye",2026-05-19,Unknown
5,"","Easy to use for new users",2026-05-19,18.9.0
5,"","most trusted",2026-05-19,18.9.0
5,"","super",2026-05-19,18.9.0
5,"","thank you Groww",2026-05-19,18.9.0
5,"","very good app for stock market.",2026-05-19,18.9.0
5,"","Very user friendly",2026-05-19,18.9.0
4,"","Thats nice great app to build wealth , BUT Groww you need to build an option to invest out of country investments too, like US , CHINA, FRANCE etc, That will help us to invest globaly to make wealthy portfolio. :)",2026-05-19,18.9.0
5,"","very simple to use with easy with reports which can provide analysis and help you to take decision.",2026-05-19,18.9.0
5,"","good",2026-05-19,18.8.1
5,"","good",2026-05-19,18.9.0
5,"","best",2026-05-19,18.9.0
